item,subgraph_count,subgraph_list,subgraph_code_list
<http://www.wikidata.org/entity/Q32819162>,3,village|film|Wikimedia category,Q532|Q11424|Q4167836
<http://www.wikidata.org/entity/Q14612484>,3,river|watercourse|lake,Q4022|Q355304|Q23397
<http://www.wikidata.org/entity/Q20663846>,3,village|hamlet|human settlement,Q532|Q5084|Q486972
<http://www.wikidata.org/entity/Q13663072>,3,village|hamlet|human settlement,Q532|Q5084|Q486972
<http://www.wikidata.org/entity/Q12680092>,3,stream|watercourse|river,Q47521|Q355304|Q4022
<http://www.wikidata.org/entity/Q28089595>,3,stream|river|watercourse,Q47521|Q4022|Q355304
<http://www.wikidata.org/entity/Q97631010>,3,human settlement|hamlet|village,Q486972|Q5084|Q532
<http://www.wikidata.org/entity/Q1758944>,3,village|hamlet|island,Q532|Q5084|Q23442
<http://www.wikidata.org/entity/Q129296>,3,mountain|human settlement|island,Q8502|Q486972|Q23442
<http://www.wikidata.org/entity/Q29785960>,3,church building|collection|architectural structure,Q16970|Q2668072|Q811979
<http://www.wikidata.org/entity/Q4415895>,3,human settlement|hamlet|village,Q486972|Q5084|Q532
<http://www.wikidata.org/entity/Q20571744>,3,hamlet|human settlement|village,Q5084|Q486972|Q532
<http://www.wikidata.org/entity/Q12033895>,3,watercourse|stream|river,Q355304|Q47521|Q4022
<http://www.wikidata.org/entity/Q12154444>,3,watercourse|river|stream,Q355304|Q4022|Q47521
<http://www.wikidata.org/entity/Q18986775>,3,stream|watercourse|river,Q47521|Q355304|Q4022
<http://www.wikidata.org/entity/Q4181799>,3,human settlement|hamlet|village,Q486972|Q5084|Q532
<http://www.wikidata.org/entity/Q871136>,3,"Wikimedia disambiguation page|version, edition, or translation|literary work",Q4167410|Q3331189|Q7725634
<http://www.wikidata.org/entity/Q21622527>,3,church building|house|building,Q16970|Q3947|Q41176
<http://www.wikidata.org/entity/Q20571421>,3,village|human settlement|hamlet,Q532|Q486972|Q5084
<http://www.wikidata.org/entity/Q16657653>,3,village|hamlet|human settlement,Q532|Q5084|Q486972
<http://www.wikidata.org/entity/Q16696845>,3,hamlet|village|human settlement,Q5084|Q532|Q486972
<http://www.wikidata.org/entity/Q13662790>,3,village|hamlet|human settlement,Q532|Q5084|Q486972
<http://www.wikidata.org/entity/Q25689900>,3,island|village in India|village,Q23442|Q56436498|Q532
<http://www.wikidata.org/entity/Q13663105>,3,village|human settlement|hamlet,Q532|Q486972|Q5084
<http://www.wikidata.org/entity/Q13647868>,2,village|human settlement,Q532|Q486972
<http://www.wikidata.org/entity/Q20940607>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q21296187>,2,building|house,Q41176|Q3947
<http://www.wikidata.org/entity/Q23688282>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q23691835>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q23692036>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q24849702>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24924023>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25016807>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25181480>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25281711>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25290513>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28227500>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28229876>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28309430>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28310745>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28311582>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28312679>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q29651260>,2,building|architectural structure,Q41176|Q811979
<http://www.wikidata.org/entity/Q29882386>,2,church building|architectural structure,Q16970|Q811979
<http://www.wikidata.org/entity/Q3061343>,2,"film|version, edition, or translation",Q11424|Q3331189
<http://www.wikidata.org/entity/Q3191842>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q3442833>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q4177038>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q4218222>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q108457297>,2,"version, edition, or translation|scholarly article",Q3331189|Q13442814
<http://www.wikidata.org/entity/Q12246226>,2,"literary work|version, edition, or translation",Q7725634|Q3331189
<http://www.wikidata.org/entity/Q14750790>,2,village|human settlement,Q532|Q486972
<http://www.wikidata.org/entity/Q18483482>,2,business|Wikimedia list article,Q4830453|Q13406463
<http://www.wikidata.org/entity/Q23691583>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q23725915>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q24821099>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24824436>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24827919>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24833007>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24843379>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q24853403>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24879492>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24884612>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24920660>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24966654>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25019865>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25021288>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25024053>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25246347>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25256431>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25278207>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28227904>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28229757>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28291462>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28309455>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28309763>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28312435>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q29478690>,2,church building|architectural structure,Q16970|Q811979
<http://www.wikidata.org/entity/Q30102493>,2,"literary work|version, edition, or translation",Q7725634|Q3331189
<http://www.wikidata.org/entity/Q3919803>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q5000204>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q62562211>,2,"literary work|version, edition, or translation",Q7725634|Q3331189
<http://www.wikidata.org/entity/Q62807>,2,stream|river,Q47521|Q4022
<http://www.wikidata.org/entity/Q98027184>,2,"version, edition, or translation|scholarly article",Q3331189|Q13442814
<http://www.wikidata.org/entity/Q1301351>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q13666824>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q14656607>,2,village|human settlement,Q532|Q486972
<http://www.wikidata.org/entity/Q1503618>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q1879356>,2,river|stream,Q4022|Q47521
<http://www.wikidata.org/entity/Q20468137>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q20932425>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q21644594>,2,village|human settlement,Q532|Q486972
<http://www.wikidata.org/entity/Q21963587>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q2250527>,2,village|human settlement,Q532|Q486972
<http://www.wikidata.org/entity/Q22977984>,2,family name|Wikimedia disambiguation page,Q101352|Q4167410
<http://www.wikidata.org/entity/Q23709269>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q23714346>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25019872>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25023796>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25023819>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25081080>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25198562>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25283439>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28227480>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28232221>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28232806>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28233194>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28234451>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28274976>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28286143>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28287714>,2,clinical trial|scholarly article,Q30612|Q13442814
<http://www.wikidata.org/entity/Q28309658>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28309858>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28311246>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28311341>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28311406>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28311537>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28314374>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28314576>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q29687588>,2,church building|architectural structure,Q16970|Q811979
<http://www.wikidata.org/entity/Q29785852>,2,church building|architectural structure,Q16970|Q811979
<http://www.wikidata.org/entity/Q29874469>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q4228856>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q4693111>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q62559790>,2,"version, edition, or translation|literary work",Q3331189|Q7725634
<http://www.wikidata.org/entity/Q6474299>,2,human settlement|hamlet,Q486972|Q5084
<http://www.wikidata.org/entity/Q97631170>,2,village|human settlement,Q532|Q486972
<http://www.wikidata.org/entity/Q10791303>,2,human settlement|village in India,Q486972|Q56436498
<http://www.wikidata.org/entity/Q10843707>,2,album|Wikimedia list article,Q482994|Q13406463
<http://www.wikidata.org/entity/Q16294798>,2,river|stream,Q4022|Q47521
<http://www.wikidata.org/entity/Q16693268>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q18564530>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q20538044>,2,human settlement|hamlet,Q486972|Q5084
<http://www.wikidata.org/entity/Q21963750>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q22704548>,2,building|church building,Q41176|Q16970
<http://www.wikidata.org/entity/Q23702642>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q23703243>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q23763096>,2,album|film,Q482994|Q11424
<http://www.wikidata.org/entity/Q23781421>,2,building|house,Q41176|Q3947
<http://www.wikidata.org/entity/Q24829372>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24847293>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24850117>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24885121>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24940526>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25012530>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25048233>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25177167>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25221437>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25249846>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25278561>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28231009>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28231216>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28234481>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28245484>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28249262>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28256124>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28308520>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28309756>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28314425>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q29580621>,2,building|architectural structure,Q41176|Q811979
<http://www.wikidata.org/entity/Q29785840>,2,church building|architectural structure,Q16970|Q811979
<http://www.wikidata.org/entity/Q29890378>,2,church building|architectural structure,Q16970|Q811979
<http://www.wikidata.org/entity/Q30241341>,2,building|house,Q41176|Q3947
<http://www.wikidata.org/entity/Q318701>,2,river|stream,Q4022|Q47521
<http://www.wikidata.org/entity/Q35993571>,2,building|church building,Q41176|Q16970
<http://www.wikidata.org/entity/Q383248>,2,position|Wikimedia list article,Q4164871|Q13406463
<http://www.wikidata.org/entity/Q4097907>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q4109368>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q4268841>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q6171619>,2,village|human settlement,Q532|Q486972
<http://www.wikidata.org/entity/Q6560226>,2,Wikimedia disambiguation page|Wikimedia list article,Q4167410|Q13406463
<http://www.wikidata.org/entity/Q806604>,2,house|architectural structure,Q3947|Q811979
<http://www.wikidata.org/entity/Q12115522>,2,human settlement|hamlet,Q486972|Q5084
<http://www.wikidata.org/entity/Q13490455>,2,village|human settlement,Q532|Q486972
<http://www.wikidata.org/entity/Q1418145>,2,stream|river,Q47521|Q4022
<http://www.wikidata.org/entity/Q16713495>,2,human settlement|hamlet,Q486972|Q5084
<http://www.wikidata.org/entity/Q18773764>,2,human settlement|hamlet,Q486972|Q5084
<http://www.wikidata.org/entity/Q19382859>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q20664191>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q21336901>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q21963975>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q22562098>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q23695362>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q23697998>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q25021753>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25023601>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25026719>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q25290929>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q267784>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q28227459>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q28227687>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q28231486>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q28273929>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q28298374>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q28300294>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q28308587>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q28310209>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q28310313>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q28312235>,2,hill|mountain,Q54050|Q8502
<http://www.wikidata.org/entity/Q29786045>,2,architectural structure|church building,Q811979|Q16970
<http://www.wikidata.org/entity/Q4463803>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q55400564>,2,building|primary school,Q41176|Q9842
<http://www.wikidata.org/entity/Q6401166>,2,human settlement|mountain,Q486972|Q8502
<http://www.wikidata.org/entity/Q73014457>,2,building|human settlement,Q41176|Q486972
<http://www.wikidata.org/entity/Q7670574>,2,Wikimedia template|Wikimedia category,Q11266439|Q4167836
<http://www.wikidata.org/entity/Q102422831>,2,building|house,Q41176|Q3947
<http://www.wikidata.org/entity/Q106140146>,2,"scholarly article|version, edition, or translation",Q13442814|Q3331189
<http://www.wikidata.org/entity/Q13662052>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q13662065>,2,village|hamlet,Q532|Q5084
<http://www.wikidata.org/entity/Q15726534>,2,human settlement|hamlet,Q486972|Q5084
<http://www.wikidata.org/entity/Q16653498>,2,human settlement|hamlet,Q486972|Q5084
<http://www.wikidata.org/entity/Q16894309>,2,river|stream,Q4022|Q47521
<http://www.wikidata.org/entity/Q20468163>,2,human settlement|hamlet,Q486972|Q5084
<http://www.wikidata.org/entity/Q210049>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q21007781>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q21963622>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q23688566>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q23689126>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q23701444>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q23959707>,2,river|stream,Q4022|Q47521
<http://www.wikidata.org/entity/Q24818381>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24824531>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24880862>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q24885086>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25021892>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25049170>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25049885>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25179202>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25206124>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25222381>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q25293971>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28054365>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28227573>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28230985>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28233291>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28233642>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28234343>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28293537>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28308666>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28308869>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28310862>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28311196>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28311266>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28312656>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28312817>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28313326>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q29580227>,2,building|architectural structure,Q41176|Q811979
<http://www.wikidata.org/entity/Q29880621>,2,building|architectural structure,Q41176|Q811979
<http://www.wikidata.org/entity/Q29891233>,2,house|architectural structure,Q3947|Q811979
<http://www.wikidata.org/entity/Q32258802>,2,village|island,Q532|Q23442
<http://www.wikidata.org/entity/Q3861308>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q55951173>,2,"scholarly article|version, edition, or translation",Q13442814|Q3331189
<http://www.wikidata.org/entity/Q61413179>,2,Wikimedia disambiguation page|Wikimedia list article,Q4167410|Q13406463
<http://www.wikidata.org/entity/Q64449242>,2,"literary work|version, edition, or translation",Q7725634|Q3331189
<http://www.wikidata.org/entity/Q6531495>,2,human settlement|hamlet,Q486972|Q5084
<http://www.wikidata.org/entity/Q830362>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q84644042>,2,biographical article|encyclopedia article,Q19389637|Q13433827
<http://www.wikidata.org/entity/Q89114204>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q102174915>,2,painting|human,Q3305213|Q5
<http://www.wikidata.org/entity/Q12121766>,2,Wikimedia disambiguation page|family name,Q4167410|Q101352
<http://www.wikidata.org/entity/Q12831352>,2,human settlement|village,Q486972|Q532
<http://www.wikidata.org/entity/Q13652791>,2,hamlet|village,Q5084|Q532
<http://www.wikidata.org/entity/Q14631774>,2,human settlement|village,Q486972|Q532
<http://www.wikidata.org/entity/Q1540298>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q16718153>,2,hamlet|human settlement,Q5084|Q486972
<http://www.wikidata.org/entity/Q16766314>,2,human settlement|village,Q486972|Q532
<http://www.wikidata.org/entity/Q20383640>,2,island|human settlement,Q23442|Q486972
<http://www.wikidata.org/entity/Q20384239>,2,island|human settlement,Q23442|Q486972
<http://www.wikidata.org/entity/Q21963632>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q23691580>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q23860510>,2,human settlement|village,Q486972|Q532
<http://www.wikidata.org/entity/Q24829258>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24842261>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q24895870>,2,Wikimedia disambiguation page|family name,Q4167410|Q101352
<http://www.wikidata.org/entity/Q24982713>,2,river|watercourse,Q4022|Q355304
<http://www.wikidata.org/entity/Q25026857>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28089597>,2,watercourse|stream,Q355304|Q47521
<http://www.wikidata.org/entity/Q28227787>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28233208>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28252824>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28309138>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28309759>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28310767>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28311231>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28311614>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q28312591>,2,mountain|hill,Q8502|Q54050
<http://www.wikidata.org/entity/Q29673193>,2,architectural structure|church building,Q811979|Q16970
<http://www.wikidata.org/entity/Q29785801>,2,architectural structure|church building,Q811979|Q16970
<http://www.wikidata.org/entity/Q30232563>,2,house|building,Q3947|Q41176
